id,mag,longitude,latitude,date,Days since last eruption,vei,was_erupted,volcano_latitude,volcano_longitude
usp0002s0x,4.6,-74.873,-40.066,1986-03-21,873,,0.0,,
usp0002su6,4.5,-74.956,-37.431999999999995,1986-04-11,894,,0.0,,
usp0002tw7,4.4,-71.664,-36.6,1986-05-11,924,,0.0,,
usp0002uhk,4.6,-73.692,-36.691,1986-05-28,941,,0.0,,
usp0002v5n,5.2,-73.402,-42.049,1986-06-18,962,,0.0,,
usp0002w1p,5.1,-74.675,-37.85,1986-07-15,989,,0.0,,
usp0002wau,4.1,-70.658,-36.88,1986-07-21,995,,0.0,,
usp0002xuq,5.4,-71.814,-37.073,1986-09-05,1041,,0.0,,
usp0002yfh,4.0,-72.774,-37.694,1986-09-28,1064,,0.0,,
usp0003047,4.3,-70.205,-36.303000000000004,1986-11-18,1115,,0.0,,
usp000314y,4.9,-74.992,-38.654,1986-12-25,1152,,0.0,,
usp000321d,3.6,-73.68,-37.704,1987-01-30,1188,,0.0,,
usp000324r,4.6,-73.943,-37.273,1987-02-02,1191,,0.0,,
usp0003259,5.2,-72.97,-37.769,1987-02-03,1192,,0.0,,
usp000325b,5.9,-72.893,-37.75,1987-02-03,1192,,0.0,,
usp00032gj,4.7,-73.625,-37.433,1987-02-15,1204,,0.0,,
usp00034uk,4.6,-73.22800000000001,-37.935,1987-05-09,1287,,0.0,,
usp000352h,4.4,-74.372,-37.09,1987-05-17,1295,,0.0,,
usp000373g,5.2,-72.546,-40.542,1987-07-31,1370,,0.0,,
usp000378a,5.4,-73.189,-40.469,1987-08-04,1374,,0.0,,
usp00037ms,4.2,-70.546,-36.952,1987-08-19,1389,,0.0,,
usp0003837,3.4,-72.66199999999999,-36.504,1987-09-04,1405,,0.0,,
usp0003912,5.1,-74.781,-41.168,1987-10-06,1437,,0.0,,
usp0003961,5.3,-73.03399999999999,-36.367,1987-10-11,1442,,0.0,,
usp00039q4,4.9,-72.773,-38.388000000000005,1987-10-28,1459,,0.0,,
usp0003cym,4.8,-71.19800000000001,-39.957,1988-02-11,1565,,0.0,,
usp0003dd7,4.8,-73.274,-41.467,1988-02-27,1581,,0.0,,
usp0003fdj,4.2,-71.55,-36.156,1988-04-26,1640,,0.0,,
usp0003jwy,5.0,-72.395,-36.467,1988-08-12,1748,,0.0,,
usp0003k7x,5.0,-73.795,-37.36,1988-08-21,1757,,0.0,,
usp0003kj2,4.6,-73.938,-37.207,1988-08-31,1767,,0.0,,
usp0003muk,4.5,-74.285,-40.311,1988-10-15,1812,,0.0,,
usp0003nja,4.8,-72.808,-37.869,1988-11-05,1833,,0.0,,
usp0003njb,4.3,-73.331,-38.071,1988-11-05,1833,,0.0,,
usp0003nqz,4.1,-73.382,-37.126999999999995,1988-11-09,1837,,0.0,,
