games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct
64,1172,2011,27,5.39,12.08,1.58,4.73,1.86,2.75,1.13,4.97,6.09,1.38,0.91,0.19,1.75,2.83,14.22,0.446,0.333,0.676
8,1197,2011,13,1.5,4.5,0.25,1.13,1.63,1.88,0.0,1.38,1.38,2.13,0.13,0.0,0.88,0.63,4.88,0.333,0.222,0.867
65,1198,2011,33,6.48,16.06,1.4,4.11,2.85,4.17,1.89,4.38,6.28,2.02,0.78,0.66,1.38,2.52,17.2,0.403,0.341,0.683
39,1199,2011,14,0.9,3.18,0.69,2.18,0.15,0.21,0.13,1.38,1.51,2.05,0.54,0.08,0.51,1.15,2.64,0.282,0.318,0.75
1,1206,2011,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,1216,2011,20,2.46,6.98,0.56,2.22,1.16,1.96,0.72,3.44,4.16,1.66,0.4,0.36,1.04,1.94,6.64,0.352,0.252,0.592
66,1222,2011,27,3.67,8.36,0.27,1.26,2.08,2.56,0.8,2.55,3.35,6.68,0.95,0.14,2.68,2.02,9.68,0.438,0.217,0.811
24,1224,2011,8,0.71,2.21,0.21,0.71,0.33,0.42,0.21,1.17,1.38,1.42,0.33,0.17,0.71,0.83,1.96,0.321,0.294,0.8
28,1245,2011,24,5.0,11.07,0.61,1.64,1.04,1.32,0.71,1.64,2.36,3.0,0.43,0.04,1.75,2.0,11.64,0.452,0.37,0.784
60,1247,2011,28,4.78,9.68,0.0,0.02,1.42,1.93,2.42,4.73,7.15,1.62,0.97,1.62,1.08,2.93,10.98,0.494,0.0,0.733
64,1249,2011,26,2.86,7.27,0.88,2.95,1.11,1.8,1.11,2.3,3.41,2.19,1.08,0.42,1.08,2.14,7.7,0.394,0.296,0.617
34,1274,2011,10,0.5,1.32,0.0,0.0,0.21,0.79,0.74,2.59,3.32,0.18,0.12,0.29,0.65,1.94,1.21,0.378,0.0,0.259
47,1280,2011,25,3.38,9.04,1.04,3.62,2.0,2.43,0.47,3.0,3.47,2.51,1.15,0.28,2.19,2.11,9.81,0.374,0.288,0.825
42,1281,2011,22,2.31,5.24,0.07,0.31,0.48,1.29,1.17,3.14,4.31,0.43,1.05,1.02,0.76,2.45,5.17,0.441,0.231,0.37
27,1286,2011,16,0.81,1.78,0.0,0.0,0.41,0.67,1.07,4.04,5.11,0.22,0.15,0.59,0.81,2.44,2.04,0.458,0.0,0.611
51,1287,2011,15,2.82,7.06,0.82,2.59,1.73,2.18,0.27,1.24,1.51,0.65,0.25,0.0,0.73,0.57,8.2,0.4,0.318,0.793
22,1288,2011,12,1.09,2.91,0.36,1.32,0.09,0.18,0.5,1.77,2.27,0.55,0.86,0.18,0.32,1.82,2.64,0.375,0.276,0.5
53,1290,2011,31,3.94,9.51,1.72,4.87,1.26,1.79,0.45,3.3,3.75,4.4,0.85,0.32,2.68,2.62,10.87,0.415,0.353,0.705
46,1296,2011,14,1.43,3.54,0.59,1.76,0.5,0.67,0.07,0.78,0.85,1.11,0.28,0.04,0.74,1.24,3.96,0.405,0.333,0.742
48,1297,2011,18,1.54,4.1,0.88,2.52,0.52,0.63,0.31,2.25,2.56,0.79,0.58,0.13,0.6,1.54,4.48,0.376,0.347,0.833
51,1298,2011,18,0.96,3.37,0.8,2.84,0.18,0.31,0.14,1.84,1.98,0.8,0.37,0.08,0.37,1.16,2.9,0.285,0.283,0.563
39,1299,2011,19,2.33,5.36,1.36,3.0,0.05,0.13,0.56,2.72,3.28,1.08,0.36,0.15,0.77,1.49,6.08,0.435,0.453,0.4
34,1339,2011,23,2.38,5.12,1.0,2.56,0.62,0.74,0.18,1.26,1.44,1.12,0.38,0.06,0.62,2.29,6.38,0.466,0.391,0.84
49,1341,2011,15,1.51,4.02,1.02,2.76,0.45,0.59,0.69,2.22,2.92,1.1,0.43,0.31,0.71,1.27,4.49,0.376,0.37,0.759
50,1342,2011,20,1.08,3.2,0.2,1.04,0.62,0.92,0.6,1.82,2.42,4.34,1.08,0.44,1.7,2.1,2.98,0.338,0.192,0.674
58,1343,2011,35,4.95,10.9,0.79,2.59,3.1,3.88,1.5,5.16,6.66,2.83,1.47,0.62,1.91,2.5,13.79,0.454,0.307,0.8
37,1344,2011,13,1.54,3.81,0.27,1.0,0.35,0.46,0.16,1.05,1.22,3.32,0.46,0.22,1.41,1.27,3.7,0.404,0.27,0.765
63,1346,2011,27,3.22,7.75,1.79,4.27,0.94,1.35,0.41,3.06,3.48,1.4,0.59,0.3,0.79,1.92,9.17,0.416,0.42,0.694
30,1348,2011,10,0.53,1.33,0.0,0.0,0.23,0.5,0.4,1.2,1.6,0.33,0.13,0.1,0.33,1.13,1.3,0.4,0.0,0.467
27,1367,2011,12,0.56,1.56,0.0,0.0,0.04,0.22,1.22,1.93,3.15,0.85,0.22,0.48,0.7,1.33,1.15,0.357,0.0,0.167
9,1368,2011,20,2.33,4.44,0.0,0.0,1.67,3.78,1.78,4.56,6.33,0.44,0.89,0.0,1.56,2.33,6.33,0.525,0.0,0.441
28,1369,2011,14,1.0,3.21,0.71,2.14,0.14,0.25,0.61,1.36,1.96,0.39,0.54,0.11,0.36,1.46,2.86,0.311,0.333,0.571
54,1372,2011,29,4.5,11.04,1.89,5.13,0.76,1.28,0.67,2.93,3.59,1.98,0.98,0.41,1.11,1.69,11.65,0.408,0.368,0.594
59,1373,2011,16,1.31,2.9,0.47,1.14,0.1,0.15,0.68,2.56,3.24,0.86,0.25,0.27,0.44,1.66,3.19,0.45,0.418,0.667
17,1374,2011,12,1.53,3.76,0.76,2.29,0.41,0.59,0.12,0.94,1.06,1.06,0.65,0.06,0.71,2.06,4.24,0.406,0.333,0.7
14,1376,2011,5,0.86,1.86,0.0,0.0,0.43,0.57,0.29,0.57,0.86,0.07,0.0,0.14,0.71,1.21,2.14,0.462,0.0,0.75
65,1378,2011,23,1.74,4.49,0.95,2.82,0.35,0.57,0.86,1.54,2.4,1.26,0.98,0.51,0.57,1.62,4.78,0.387,0.339,0.622
63,1416,2011,33,5.33,12.67,0.59,1.65,1.41,1.83,1.14,3.32,4.46,2.43,0.43,0.51,1.17,1.22,12.67,0.421,0.356,0.774
17,1417,2011,26,3.06,8.18,1.35,4.24,0.18,0.29,1.29,3.47,4.76,1.76,0.53,0.29,1.47,2.65,7.65,0.374,0.319,0.6
39,1418,2011,18,1.51,3.69,0.08,0.41,1.26,1.85,1.77,2.13,3.9,0.67,0.74,0.64,0.74,2.28,4.36,0.41,0.188,0.681
28,1422,2011,17,2.29,3.82,0.0,0.0,0.86,1.39,1.36,3.0,4.36,0.43,0.39,0.32,1.07,2.29,5.43,0.598,0.0,0.615
55,1429,2011,26,4.35,9.16,1.51,3.78,2.11,2.6,0.53,3.18,3.71,2.13,0.51,0.15,1.05,1.58,12.31,0.474,0.399,0.811
47,1433,2011,32,6.72,13.91,0.11,0.45,3.96,5.17,2.26,5.55,7.81,1.11,0.81,0.96,2.38,2.94,17.51,0.483,0.238,0.765
56,1435,2011,13,0.61,1.29,0.0,0.0,0.64,1.27,1.79,3.05,4.84,0.3,0.55,0.11,0.79,2.11,1.86,0.472,0.0,0.507
2,1436,2011,6,0.0,1.0,0.0,0.0,0.0,1.0,0.5,2.0,2.5,0.0,0.5,0.5,0.5,2.0,0.0,0.0,0.0,0.0
63,1439,2011,29,4.56,11.19,1.46,4.08,1.38,1.7,0.7,2.95,3.65,1.24,0.83,0.14,1.22,1.95,11.95,0.407,0.358,0.813
34,1440,2011,13,1.21,3.91,0.62,2.26,0.21,0.35,0.18,1.76,1.94,0.56,0.21,0.15,0.44,1.15,3.24,0.308,0.273,0.583
56,1441,2011,26,5.13,11.73,0.29,0.98,3.14,3.71,2.32,4.16,6.48,2.57,0.82,0.61,1.95,2.0,13.68,0.437,0.291,0.846
52,1466,2011,13,1.98,4.96,1.13,2.96,0.4,0.52,0.13,1.19,1.33,0.9,0.25,0.1,0.62,0.63,5.5,0.399,0.383,0.778
